doc_id,path,authority_level,owner,status,revision,source_doc_ids
UDQ-README-ROOT-001,README.md,PRIMARY,Core Architecture,ACTIVE,r33,"['UDQ-GOV-LOG-001', 'UDQ-IMP-PLAN-001', 'UDQ-GOV-POL-002', 'UDQ-GOV-REG-003']"
UDQ-README-START-001,docs/handbook/START_HERE.md,PRIMARY,Core Architecture,ACTIVE,rSprint0,"['UDQ-IMP-PLAN-001', 'UDQ-GOV-SOP-001', 'UDQ-GOV-POL-002']"
UDQ-README-EXEC-001,docs/release/EXEC_SUMMARY.md,DERIVED,Core Architecture,ACTIVE,rSprint0,"['UDQ-IMP-PLAN-001', 'UDQ-GOV-LOG-001', 'UDQ-REQ-MAT-001', 'UDQ-GOV-REG-003']"
UDQ-README-SAVEPOINT-001,docs/release/SAVEPOINT_SUMMARY.md,DERIVED,Core Architecture,ACTIVE,rSprint0,"['UDQ-IMP-PLAN-001', 'UDQ-GAP-RPT-001', 'UDQ-GOV-REG-003']"
UDQ-README-API-001,docs/handbook/PUBLIC_API_FREEZE.md,PRIMARY,Core Architecture,ACTIVE,r0,"['UDQ-IMP-PLAN-001', 'UDQ-GOV-WI-001']"
UDQ-README-IMPL-001,docs/handbook/IMPLEMENTATION_ENTRY.md,PRIMARY,Core Architecture,ACTIVE,rSprint0,"['UDQ-IMP-PLAN-001', 'UDQ-IMP-GUIDE-001', 'UDQ-GOV-SOP-001']"
UDQ-README-NEXT-001,docs/handbook/NEXT_ACTIONS.md,DERIVED,Core Architecture,ACTIVE,rSprint0,"['UDQ-IMP-PLAN-001', 'UDQ-GAP-RPT-001', 'UDQ-GOV-REG-003']"
UDQ-README-TOOLS-001,docs/handbook/TESTS_AND_TOOLS.md,PRIMARY,Core Architecture,ACTIVE,rSprint0,"['UDQ-GOV-SOP-001', 'UDQ-IMP-PLAN-001']"
UDQ-README-AUDIT-001,docs/handbook/AUDIT_AND_GOVERNANCE.md,PRIMARY,Core Architecture,ACTIVE,rSprint0,"['UDQ-GOV-SOP-001', 'UDQ-GOV-SPEC-003']"
UDQ-README-HUMAN-001,docs/review/HUMAN_PASS_CHECKLIST.md,DERIVED,Core Architecture,ACTIVE,r1,"['UDQ-GOV-SOP-001', 'UDQ-IMP-PLAN-001']"
UDQ-README-RELNOTE-001,docs/release/RELEASE_NOTES.md,DERIVED,Core Architecture,ACTIVE,rSprint0,"['UDQ-IMP-PLAN-001', 'UDQ-GOV-LOG-001', 'UDQ-GAP-RPT-001', 'UDQ-GOV-REG-003']"
